date,total_tweets,rumor_tweets,non_rumor_tweets
2020-05-04,2141,1022,1119
2020-05-05,1847,1133,714
2020-05-06,2304,1190,1114
2020-05-07,2669,1259,1410
2020-05-08,2282,1176,1106
2020-05-09,2343,1353,990
2020-05-10,2271,1254,1017
2020-05-11,2525,1158,1367
2020-05-12,2045,1437,608
2020-05-13,2918,1368,1550
2020-05-14,2654,1435,1219
2020-05-15,3179,1440,1739
2020-05-16,2836,1475,1361
2020-05-17,3245,1720,1525
2020-05-18,2632,1724,908
2020-05-19,2878,1763,1115
2020-05-20,3188,1530,1658
2020-05-21,3041,1623,1418
2020-05-22,3172,1648,1524
2020-05-23,3310,1619,1691
2020-05-24,3722,1798,1924
2020-05-25,2959,1641,1318
2020-05-26,2849,1755,1094
2020-05-27,3294,1797,1497
2020-05-28,3489,1602,1887
2020-05-29,3210,1638,1572
2020-05-30,3094,1566,1528
2020-05-31,3309,1674,1635
2020-06-01,3192,1573,1619
2020-06-02,3297,1501,1796
2020-06-03,3243,1631,1612
2020-06-04,2958,1528,1430
2020-06-05,3272,1628,1644
2020-06-06,3105,1772,1333
2020-06-07,3344,1659,1685
2020-06-08,3030,1446,1584
2020-06-09,3254,1549,1705
2020-06-10,2999,1771,1228
2020-06-11,3196,1466,1730
2020-06-12,2749,1597,1152
2020-06-13,2872,1437,1435
2020-06-14,2484,1372,1112
2020-06-15,2573,1448,1125
2020-06-16,2457,1250,1207
2020-06-17,2691,1174,1517
2020-06-18,2556,1357,1199
2020-06-19,2616,1556,1060
2020-06-20,2784,1300,1484
2020-06-21,2198,1193,1005
2020-06-22,2454,1783,671
2020-06-23,2449,984,1465
2020-06-24,2370,1083,1287
2020-06-25,2777,986,1791
2020-06-26,2394,1584,810
2020-06-27,2410,838,1572
2020-06-28,1904,907,997
2020-06-29,1764,881,883
2020-06-30,2045,873,1172
2020-07-01,2122,835,1287
2020-07-02,2144,800,1344
2020-07-03,1832,769,1063
2020-07-04,1865,523,1342
2020-07-05,1931,672,1259
2020-07-06,1634,666,968
2020-07-07,1546,657,889
2020-07-08,2209,782,1427
2020-07-09,2005,541,1464
2020-07-10,1940,488,1452
2020-07-11,1761,882,879
2020-07-12,1719,570,1149
2020-07-13,1603,515,1088
2020-07-14,1053,398,655
2020-07-15,1389,493,896
2020-07-16,1666,493,1173
2020-07-17,1527,447,1080
2020-07-18,1432,420,1012
2020-07-19,1432,500,932
2020-07-20,1049,493,556
2020-07-21,1512,610,902
2020-07-22,1374,522,852
2020-07-23,1230,401,829
2020-07-24,1289,364,925
2020-07-25,1105,287,818
2020-07-26,1032,256,776
2020-07-27,1189,1105,84
2020-07-28,925,293,632
2020-07-29,1007,327,680
2020-07-30,1161,312,849
2020-07-31,1130,91,1039
2020-08-01,1057,141,916
2020-08-02,923,233,690
2020-08-03,1003,513,490
2020-08-04,1072,292,780
2020-08-05,1002,186,816
2020-08-06,1071,66,1005
2020-08-07,991,52,939
2020-08-08,1041,70,971
2020-08-09,1124,73,1051
2020-08-10,1049,0,1049
2020-08-11,934,19,915
2020-08-12,1117,272,845
2020-08-13,1187,103,1084
2020-08-14,1104,0,1104
2020-08-15,1143,118,1025
2020-08-16,915,24,891
2020-08-17,1285,81,1204
2020-08-18,856,39,817
2020-08-19,1319,0,1319
2020-08-20,1429,90,1339
2020-08-21,1303,0,1303
2020-08-22,1173,164,1009
2020-08-23,1099,0,1099
2020-08-24,1317,287,1030
2020-08-25,1045,111,934
2020-08-26,1076,229,847
2020-08-27,1285,61,1224
2020-08-28,1242,20,1222
2020-08-29,1156,82,1074
2020-08-30,779,183,596
2020-08-31,896,177,719
2020-09-01,832,160,672
2020-09-02,1162,253,909
2020-09-03,1207,245,962
2020-09-04,1218,396,822
2020-09-05,1002,198,804
2020-09-06,1014,198,816
2020-09-07,1156,455,701
2020-09-08,971,306,665
2020-09-09,1014,207,807
2020-09-10,1193,826,367
2020-09-11,911,385,526
2020-09-12,1223,141,1082
2020-09-13,951,298,653
2020-09-14,933,228,705
2020-09-15,865,149,716
2020-09-16,1230,497,733
2020-09-17,954,136,818
2020-09-18,968,336,632
2020-09-19,1019,270,749
2020-09-20,940,59,881
2020-09-21,759,303,456
2020-09-22,927,203,724
2020-09-23,970,310,660
2020-09-24,1250,279,971
2020-09-25,1309,539,770
2020-09-26,1173,282,891
2020-09-27,1024,210,814
2020-09-28,819,30,789
2020-09-29,1104,354,750
2020-09-30,1255,93,1162
2020-10-01,1008,77,931
2020-10-02,1198,208,990
2020-10-03,1445,325,1120
2020-10-04,1165,55,1110
2020-10-05,877,265,612
2020-10-06,1281,204,1077
2020-10-07,1264,40,1224
2020-10-08,1211,0,1211
2020-10-09,1411,76,1335
2020-10-10,1437,105,1332
2020-10-11,1201,134,1067
2020-10-12,1088,104,984
2020-10-13,1093,99,994
2020-10-14,1335,1335,0
2020-10-15,1333,87,1246
2020-10-16,1604,292,1312
2020-10-17,1442,198,1244
2020-10-18,1297,272,1025
2020-10-19,1375,402,973
2020-10-20,1360,402,958
2020-10-21,1250,298,952
2020-10-22,1540,494,1046
2020-10-23,1725,545,1180
2020-10-24,1336,560,776
2020-10-25,1474,377,1097
2020-10-26,1349,884,465
2020-10-27,1595,705,890
2020-10-28,1490,892,598
2020-10-29,1587,835,752
2020-10-30,1655,888,767
2020-10-31,1925,817,1108
2020-11-01,1898,1187,711
2020-11-02,1842,891,951
2020-11-03,2114,1250,864
2020-11-04,2076,1268,808
2020-11-05,1924,934,990
2020-11-06,2091,1445,646
2020-11-07,2251,1581,670
2020-11-08,2099,1535,564
2020-11-09,2273,1181,1092
2020-11-10,2504,1966,538
2020-11-11,2422,1538,884
2020-11-12,2668,2294,374
2020-11-13,2732,2307,425
2020-11-14,2700,1455,1245
2020-11-15,3145,1468,1677
2020-11-16,2851,1741,1110
2020-11-17,2647,1521,1126
2020-11-18,2918,1991,927
2020-11-19,3442,1719,1723
2020-11-20,3283,1722,1561
2020-11-21,3449,1786,1663
2020-11-22,3371,1668,1703
2020-11-23,3458,1924,1534
2020-11-24,3321,1893,1428
2020-11-25,3979,2165,1814
2020-11-26,4075,2027,2048
2020-11-27,3934,2312,1622
2020-11-28,3480,2182,1298
2020-11-29,3832,2262,1570
2020-11-30,4018,2187,1831
2020-12-01,4124,2351,1773
2020-12-02,4653,2373,2280
2020-12-03,5190,2483,2707
2020-12-04,4524,2666,1858
2020-12-05,4058,2687,1371
2020-12-06,4553,2752,1801
2020-12-07,4166,2713,1453
2020-12-08,4317,2846,1471
2020-12-09,5116,2761,2355
2020-12-10,5188,2667,2521
2020-12-11,5292,2945,2347
2020-12-12,5263,2921,2342
2020-12-13,4745,3135,1610
2020-12-14,5591,3127,2464
2020-12-15,5310,3347,1963
2020-12-16,4959,3060,1899
2020-12-17,5262,3115,2147
2020-12-18,5158,3054,2104
2020-12-19,5687,3214,2473
2020-12-20,5067,3119,1948
2020-12-21,5751,3218,2533
2020-12-22,4949,3184,1765
2020-12-23,5855,3640,2215
2020-12-24,5548,3339,2209
2020-12-25,6209,3907,2302
2020-12-26,5123,3381,1742
2020-12-27,5537,3364,2173
2020-12-28,5876,3548,2328
2020-12-29,5030,4192,838
2020-12-30,5121,3239,1882
2020-12-31,5168,3608,1560
2021-01-01,6162,5447,715
2021-01-02,5962,4285,1677
2021-01-03,5706,4120,1586
2021-01-04,5722,5188,534
2021-01-05,5506,3107,2399
2021-01-06,5540,3364,2176
2021-01-07,5475,3271,2204
2021-01-08,5210,3199,2011
2021-01-09,5047,3050,1997
2021-01-10,5031,3058,1973
2021-01-11,5369,3083,2286
2021-01-12,4339,2948,1391
2021-01-13,5441,3071,2370
2021-01-14,4417,2863,1554
2021-01-15,5072,2856,2216
2021-01-16,4531,2575,1956
2021-01-17,3918,2695,1223
2021-01-18,3895,2560,1335
2021-01-19,3905,2567,1338
2021-01-20,4317,2567,1750
2021-01-21,3762,3125,637
2021-01-22,3956,2387,1569
2021-01-23,3385,2229,1156
2021-01-24,3905,2142,1763
2021-01-25,3861,2181,1680
2021-01-26,3626,1976,1650
2021-01-27,3050,1920,1130
2021-01-28,3623,1862,1761
2021-01-29,3120,1595,1525
2021-01-30,3241,1647,1594
2021-01-31,2843,1804,1039
2021-02-01,2865,1650,1215
2021-02-02,3027,1496,1531
2021-02-03,2898,1418,1480
2021-02-04,2658,1416,1242
2021-02-05,3099,1481,1618
2021-02-06,3199,1902,1297
2021-02-07,2822,1701,1121
2021-02-08,2280,1166,1114
2021-02-09,2318,1670,648
2021-02-10,2403,1294,1109
2021-02-11,2252,1625,627
2021-02-12,2416,1485,931
2021-02-13,2402,1688,714
2021-02-14,2249,1574,675
2021-02-15,1958,1787,171
2021-02-16,1703,1220,483
2021-02-17,2049,1793,256
2021-02-18,2433,1852,581
2021-02-19,2076,1228,848
2021-02-20,2135,1516,619
2021-02-21,1870,900,970
2021-02-22,1682,1245,437
2021-02-23,1464,1066,398
2021-02-24,1469,662,807
2021-02-25,2114,738,1376
2021-02-26,1699,859,840
2021-02-27,1519,697,822
2021-02-28,1501,432,1069
2021-03-01,1241,714,527
2021-03-02,1726,812,914
2021-03-03,1622,836,786
2021-03-04,1352,463,889
2021-03-05,1374,470,904
2021-03-06,1135,449,686
2021-03-07,1668,537,1131
2021-03-08,1148,489,659
2021-03-09,1018,285,733
2021-03-10,1315,614,701
2021-03-11,1220,485,735
2021-03-12,1288,328,960
2021-03-13,777,261,516
2021-03-14,1344,519,825
2021-03-15,984,390,594
2021-03-16,1113,336,777
2021-03-17,1054,210,844
2021-03-18,986,312,674
2021-03-19,1331,324,1007
2021-03-20,1303,416,887
2021-03-21,976,354,622
2021-03-22,875,35,840
2021-03-23,966,301,665
2021-03-24,972,309,663
2021-03-25,1154,199,955
2021-03-26,1241,215,1026
2021-03-27,781,63,718
2021-03-28,1091,100,991
2021-03-29,873,65,808
2021-03-30,1145,77,1068
2021-03-31,1055,292,763
2021-04-01,1239,3,1236
2021-04-02,1361,325,1036
2021-04-03,1349,118,1231
2021-04-04,1321,181,1140
2021-04-05,1093,65,1028
2021-04-06,1214,293,921
2021-04-07,1246,69,1177
2021-04-08,1162,99,1063
2021-04-09,1650,293,1357
2021-04-10,1228,17,1211
2021-04-11,1326,197,1129
2021-04-12,1153,0,1153
2021-04-13,1237,186,1051
2021-04-14,1044,24,1020
2021-04-15,998,139,859
2021-04-16,1386,227,1159
2021-04-17,1222,225,997
2021-04-18,1196,168,1028
2021-04-19,1176,136,1040
2021-04-20,702,155,547
2021-04-21,1001,29,972
2021-04-22,1148,286,862
2021-04-23,873,50,823
2021-04-24,895,80,815
2021-04-25,938,171,767
2021-04-26,728,141,587
2021-04-27,769,135,634
2021-04-28,1156,244,912
2021-04-29,967,290,677
2021-04-30,1167,314,853
2021-05-01,963,314,649
2021-05-02,1108,295,813
2021-05-03,948,487,461
2021-05-04,968,282,686
2021-05-05,937,239,698
2021-05-06,1138,243,895
2021-05-07,1033,208,825
2021-05-08,954,187,767
2021-05-09,1228,199,1029
2021-05-10,1081,239,842
2021-05-11,1135,209,926
2021-05-12,857,169,688
2021-05-13,1279,212,1067
2021-05-14,1368,170,1198
2021-05-15,1317,225,1092
2021-05-16,1122,182,940
2021-05-17,1226,243,983
2021-05-18,1119,303,816
2021-05-19,1346,374,972
2021-05-20,1353,358,995
2021-05-21,1265,102,1163
2021-05-22,1197,147,1050
2021-05-23,1219,158,1061
2021-05-24,1062,159,903
2021-05-25,1288,198,1090
2021-05-26,926,211,715
2021-05-27,1327,197,1130
2021-05-28,1232,111,1121
2021-05-29,1101,2,1099
2021-05-30,1072,161,911
2021-05-31,1312,0,1312
2021-06-01,932,140,792
2021-06-02,1091,172,919
2021-06-03,1111,117,994
2021-06-04,1157,0,1157
2021-06-05,878,0,878
2021-06-06,848,87,761
2021-06-07,1135,34,1101
2021-06-08,784,0,784
2021-06-09,880,169,711
2021-06-10,1156,96,1060
2021-06-11,1027,0,1027
2021-06-12,773,110,663
2021-06-13,986,245,741
2021-06-14,930,76,854
2021-06-15,743,44,699
2021-06-16,874,51,823
2021-06-17,935,123,812
2021-06-18,1129,161,968
2021-06-19,1186,260,926
2021-06-20,1112,148,964
2021-06-21,963,163,800
2021-06-22,786,31,755
2021-06-23,1005,198,807
2021-06-24,1040,65,975
2021-06-25,1081,131,950
2021-06-26,1290,28,1262
2021-06-27,1053,246,807
2021-06-28,1168,151,1017
2021-06-29,1078,169,909
2021-06-30,961,288,673
2021-07-01,1273,217,1056
2021-07-02,1367,117,1250
2021-07-03,1440,196,1244
2021-07-04,1109,194,915
2021-07-05,951,175,776
2021-07-06,1041,212,829
2021-07-07,1072,47,1025
2021-07-08,1396,429,967
2021-07-09,1180,150,1030
2021-07-10,1526,395,1131
2021-07-11,1138,230,908
2021-07-12,1428,483,945
2021-07-13,1244,325,919
2021-07-14,1127,315,812
2021-07-15,1300,353,947
2021-07-16,1016,185,831
2021-07-17,1164,250,914
2021-07-18,1382,364,1018
2021-07-19,1352,345,1007
2021-07-20,1007,173,834
2021-07-21,1170,312,858
2021-07-22,1151,227,924
2021-07-23,1525,255,1270
2021-07-24,988,268,720
2021-07-25,1157,207,950
2021-07-26,1261,340,921
2021-07-27,1010,280,730
2021-07-28,1340,366,974
2021-07-29,1534,317,1217
2021-07-30,1114,343,771
2021-07-31,1266,152,1114
2021-08-01,1185,433,752
2021-08-02,1028,195,833
2021-08-03,1106,918,188
2021-08-04,1272,278,994
2021-08-05,1455,260,1195
2021-08-06,1498,253,1245
2021-08-07,1221,229,992
2021-08-08,1398,204,1194
2021-08-09,1352,233,1119
2021-08-10,1513,293,1220
2021-08-11,1807,401,1406
2021-08-12,1770,492,1278
2021-08-13,1908,552,1356
2021-08-14,1673,254,1419
2021-08-15,1432,355,1077
2021-08-16,1727,616,1111
2021-08-17,1442,513,929
2021-08-18,1835,691,1144
2021-08-19,1623,451,1172
2021-08-20,1674,523,1151
2021-08-21,1969,730,1239
2021-08-22,1419,657,762
2021-08-23,1780,604,1176
2021-08-24,1542,652,890
2021-08-25,1752,565,1187
2021-08-26,1817,687,1130
2021-08-27,1895,1290,605
2021-08-28,2019,1084,935
2021-08-29,2070,946,1124
2021-08-30,2023,953,1070
2021-08-31,1910,1487,423
2021-09-01,2234,1556,678
2021-09-02,1978,1864,114
2021-09-03,2388,1626,762
2021-09-04,2351,1591,760
2021-09-05,1995,1665,330
2021-09-06,2133,2133,0
2021-09-07,1941,1697,244
2021-09-08,2365,2365,0
2021-09-09,2532,1818,714
2021-09-10,2696,2539,157
2021-09-11,2305,1199,1106
2021-09-12,2711,2711,0
2021-09-13,2715,1355,1360
2021-09-14,2915,2915,0
2021-09-15,2488,2116,372
2021-09-16,2662,1816,846
2021-09-17,2671,1624,1047
2021-09-18,2737,1604,1133
2021-09-19,2954,2390,564
2021-09-20,2908,2272,636
2021-09-21,3098,2188,910
2021-09-22,3362,1932,1430
2021-09-23,3335,1646,1689
2021-09-24,3207,1896,1311
2021-09-25,3580,2659,921
2021-09-26,2964,1526,1438
2021-09-27,3113,2324,789
2021-09-28,3016,2062,954
2021-09-29,2845,1486,1359
2021-09-30,3501,2778,723
2021-10-01,3831,1881,1950
2021-10-02,3393,2175,1218
2021-10-03,3731,2917,814
2021-10-04,4030,2018,2012
2021-10-05,3472,3395,77
2021-10-06,3856,2432,1424
2021-10-07,3586,2608,978
2021-10-08,4227,4227,0
2021-10-09,3907,3879,28
2021-10-10,3555,3269,286
2021-10-11,3600,2946,654
2021-10-12,4072,3690,382
2021-10-13,5082,5082,0
2021-10-14,5283,5283,0
2021-10-15,3609,3333,276
2021-10-16,5522,5522,0
2021-10-17,3906,2561,1345
2021-10-18,5001,5001,0
2021-10-19,4927,4927,0
2021-10-20,5178,5178,0
2021-10-21,3913,3762,151
2021-10-22,4708,4708,0
2021-10-23,4012,2644,1368
2021-10-24,4270,4022,248
2021-10-25,4761,4761,0
2021-10-26,4977,4977,0
2021-10-27,5966,5966,0
2021-10-28,4129,4129,0
2021-10-29,4886,4886,0
2021-10-30,4205,3348,857
2021-10-31,4383,2695,1688
2021-11-01,5420,5420,0
2021-11-02,4965,4965,0
2021-11-03,4328,2901,1427
2021-11-04,3972,2419,1553
2021-11-05,4355,3301,1054
2021-11-06,5291,5291,0
2021-11-07,4038,2505,1533
2021-11-08,4483,4092,391
2021-11-09,4457,3362,1095
2021-11-10,4088,2936,1152
2021-11-11,4596,2626,1970
2021-11-12,4511,3221,1290
2021-11-13,4683,2499,2184
2021-11-14,4183,2477,1706
2021-11-15,4467,2377,2090
2021-11-16,4454,3178,1276
2021-11-17,3661,2485,1176
2021-11-18,4433,2242,2191
2021-11-19,3910,2845,1065
2021-11-20,4221,2201,2020
2021-11-21,3867,2603,1264
2021-11-22,4213,2310,1903
2021-11-23,3532,2168,1364
2021-11-24,4042,2029,2013
2021-11-25,3639,1976,1663
2021-11-26,3820,2076,1744
2021-11-27,3674,2004,1670
2021-11-28,3353,1978,1375
2021-11-29,3113,2330,783
2021-11-30,3819,1992,1827
2021-12-01,3329,2337,992
2021-12-02,3425,3264,161
2021-12-03,3370,1865,1505
2021-12-04,3383,1618,1765
2021-12-05,3233,1570,1663
2021-12-06,3338,2648,690
2021-12-07,3208,2593,615
2021-12-08,3435,2400,1035
2021-12-09,3017,2649,368
2021-12-10,3161,2538,623
2021-12-11,2856,2193,663
2021-12-12,2893,1396,1497
2021-12-13,2594,2192,402
2021-12-14,2597,2087,510
2021-12-15,2781,1714,1067
2021-12-16,2807,2079,728
2021-12-17,2713,1985,728
2021-12-18,2595,2136,459
2021-12-19,2575,2057,518
2021-12-20,2683,1270,1413
2021-12-21,2547,1388,1159
2021-12-22,2279,1055,1224
2021-12-23,2761,1076,1685
2021-12-24,2539,1145,1394
2021-12-25,2443,1382,1061
2021-12-26,2490,1150,1340
2021-12-27,1934,1206,728
2021-12-28,2228,1042,1186
2021-12-29,2352,1007,1345
2021-12-30,2396,1002,1394
2021-12-31,2102,977,1125
2022-01-01,2707,1205,1502
2022-01-02,2195,970,1225
2022-01-03,1969,840,1129
2022-01-04,1966,689,1277
2022-01-05,2154,876,1278
2022-01-06,1839,1296,543
2022-01-07,2009,747,1262
2022-01-08,2016,737,1279
2022-01-09,1961,721,1240
2022-01-10,1629,777,852
2022-01-11,1829,680,1149
2022-01-12,1815,570,1245
2022-01-13,1794,570,1224
2022-01-14,1731,522,1209
2022-01-15,1761,607,1154
2022-01-16,1689,588,1101
2022-01-17,1500,623,877
2022-01-18,1383,499,884
2022-01-19,1706,479,1227
2022-01-20,1431,539,892
2022-01-21,1251,372,879
2022-01-22,1439,464,975
2022-01-23,1206,276,930
2022-01-24,1119,174,945
2022-01-25,1551,359,1192
2022-01-26,1119,370,749
2022-01-27,1549,416,1133
2022-01-28,1016,277,739
2022-01-29,1273,13,1260
2022-01-30,1444,404,1040
2022-01-31,973,153,820
2022-02-01,1018,170,848
2022-02-02,917,67,850
2022-02-03,1241,53,1188
2022-02-04,1007,216,791
2022-02-05,1085,111,974
2022-02-06,1109,174,935
2022-02-07,980,0,980
2022-02-08,1400,116,1284
2022-02-09,1114,319,795
2022-02-10,1457,113,1344
2022-02-11,1360,150,1210
2022-02-12,1274,19,1255
2022-02-13,1156,178,978
2022-02-14,1159,317,842
2022-02-15,1112,24,1088
2022-02-16,1045,200,845
2022-02-17,1462,272,1190
2022-02-18,1241,597,644
2022-02-19,1294,134,1160
2022-02-20,1049,104,945
2022-02-21,833,34,799
2022-02-22,1380,118,1262
2022-02-23,1105,92,1013
2022-02-24,1232,118,1114
2022-02-25,1136,219,917
2022-02-26,1143,125,1018
2022-02-27,1077,143,934
2022-02-28,865,296,569
2022-03-01,886,245,641
2022-03-02,968,301,667
2022-03-03,938,273,665
2022-03-04,1034,491,543
2022-03-05,1172,211,961
2022-03-06,713,243,470
2022-03-07,1041,266,775
2022-03-08,643,185,458
2022-03-09,999,133,866
2022-03-10,1051,325,726
2022-03-11,1053,207,846
2022-03-12,917,292,625
2022-03-13,991,206,785
2022-03-14,1250,143,1107
2022-03-15,833,168,665
2022-03-16,1112,339,773
2022-03-17,1202,236,966
2022-03-18,952,18,934
2022-03-19,737,138,599
2022-03-20,1311,227,1084
2022-03-21,1034,233,801
2022-03-22,956,75,881
2022-03-23,1037,236,801
2022-03-24,1403,385,1018
2022-03-25,1520,101,1419
2022-03-26,1142,64,1078
2022-03-27,1038,163,875
2022-03-28,947,0,947
2022-03-29,1236,171,1065
2022-03-30,861,81,780
2022-03-31,1180,167,1013
2022-04-01,1172,36,1136
2022-04-02,1215,75,1140
2022-04-03,1306,192,1114
2022-04-04,959,59,900
2022-04-05,1099,0,1099
2022-04-06,1242,4,1238
2022-04-07,1113,214,899
2022-04-08,1525,63,1462
2022-04-09,1190,130,1060
2022-04-10,1070,12,1058
2022-04-11,1258,230,1028
2022-04-12,989,70,919
2022-04-13,912,10,902
2022-04-14,1207,6,1201
2022-04-15,1288,0,1288
2022-04-16,1178,235,943
2022-04-17,914,132,782
2022-04-18,974,0,974
2022-04-19,850,53,797
2022-04-20,833,111,722
2022-04-21,742,198,544
2022-04-22,1048,0,1048
2022-04-23,1022,201,821
2022-04-24,832,216,616
2022-04-25,759,99,660
2022-04-26,978,127,851
2022-04-27,1106,204,902
2022-04-28,839,110,729
2022-04-29,825,132,693
2022-04-30,1139,363,776
2022-05-01,974,205,769
2022-05-02,954,236,718
2022-05-03,916,199,717
2022-05-04,1048,209,839
2022-05-05,1041,217,824
2022-05-06,874,138,736
2022-05-07,1057,75,982
2022-05-08,845,133,712
2022-05-09,1040,185,855
2022-05-10,980,162,818
2022-05-11,1182,105,1077
2022-05-12,1101,254,847
2022-05-13,1145,115,1030
2022-05-14,1458,338,1120
2022-05-15,1104,244,860
2022-05-16,929,183,746
2022-05-17,1171,94,1077
2022-05-18,1447,225,1222
2022-05-19,1013,124,889
2022-05-20,1380,118,1262
2022-05-21,1293,292,1001
2022-05-22,1105,43,1062
2022-05-23,1154,124,1030
2022-05-24,927,0,927
2022-05-25,1244,261,983
2022-05-26,1148,105,1043
2022-05-27,1220,87,1133
2022-05-28,1230,316,914
2022-05-29,984,128,856
2022-05-30,740,61,679
2022-05-31,878,40,838
2022-06-01,1090,177,913
2022-06-02,890,112,778
2022-06-03,852,176,676
2022-06-04,928,0,928
2022-06-05,1033,173,860
2022-06-06,830,50,780
2022-06-07,756,0,756
2022-06-08,1019,163,856
2022-06-09,1097,0,1097
2022-06-10,1193,186,1007
2022-06-11,1240,90,1150
2022-06-12,932,0,932
2022-06-13,948,84,864
2022-06-14,917,851,66
2022-06-15,1047,210,837
2022-06-16,1116,183,933
2022-06-17,1312,183,1129
2022-06-18,1218,173,1045
2022-06-19,1019,192,827
2022-06-20,780,103,677
2022-06-21,1157,342,815
2022-06-22,1171,205,966
2022-06-23,1088,366,722
2022-06-24,1304,181,1123
2022-06-25,1040,133,907
2022-06-26,1068,239,829
2022-06-27,1167,228,939
2022-06-28,1351,328,1023
2022-06-29,997,242,755
2022-06-30,1148,73,1075
