date,total_news,rumor_news,non_rumor_news
2021-05-14,372,0,372
2021-05-15,406,38,368
2021-05-16,344,4,340
2021-05-17,370,0,370
2021-05-18,370,47,323
2021-05-19,454,63,391
2021-05-20,382,67,315
2021-05-21,384,0,384
2021-05-22,381,0,381
2021-05-23,374,0,374
2021-05-24,338,0,338
2021-05-25,403,21,382
2021-05-26,274,0,274
2021-05-27,470,97,373
2021-05-28,343,0,343
2021-05-29,370,0,370
2021-05-30,358,29,329
2021-05-31,395,9,386
2021-06-01,296,29,267
2021-06-02,337,17,320
2021-06-03,266,14,252
2021-06-04,274,0,274
2021-06-05,302,0,302
2021-06-06,290,0,290
2021-06-07,342,0,342
2021-06-08,239,0,239
2021-06-09,322,23,299
2021-06-10,267,33,234
2021-06-11,214,0,214
2021-06-12,213,38,175
2021-06-13,280,33,247
2021-06-14,247,27,220
2021-06-15,277,0,277
2021-06-16,252,27,225
2021-06-17,240,9,231
2021-06-18,324,54,270
2021-06-19,425,95,330
2021-06-20,311,86,225
2021-06-21,329,13,316
2021-06-22,326,8,318
2021-06-23,323,40,283
2021-06-24,327,0,327
2021-06-25,297,0,297
2021-06-26,411,0,411
2021-06-27,393,73,320
2021-06-28,335,0,335
2021-06-29,415,89,326
2021-06-30,277,0,277
2021-07-01,339,0,339
2021-07-02,374,11,363
2021-07-03,480,63,417
2021-07-04,396,17,379
2021-07-05,369,17,352
2021-07-06,379,17,362
2021-07-07,371,0,371
2021-07-08,425,85,340
2021-07-09,379,0,379
2021-07-10,497,85,412
2021-07-11,357,30,327
2021-07-12,473,89,384
2021-07-13,418,55,363
2021-07-14,378,36,342
2021-07-15,372,55,317
2021-07-16,318,0,318
2021-07-17,338,51,287
2021-07-18,501,140,361
2021-07-19,374,123,251
2021-07-20,329,12,317
2021-07-21,418,91,327
2021-07-22,327,82,245
2021-07-23,414,115,299
2021-07-24,338,84,254
2021-07-25,319,72,247
2021-07-26,395,156,239
2021-07-27,282,106,176
2021-07-28,426,164,262
2021-07-29,455,156,299
2021-07-30,313,98,215
2021-07-31,392,112,280
2021-08-01,471,224,247
2021-08-02,357,145,212
2021-08-03,406,105,301
2021-08-04,427,91,336
2021-08-05,453,209,244
2021-08-06,469,177,292
2021-08-07,373,139,234
2021-08-08,520,222,298
2021-08-09,534,206,328
2021-08-10,513,126,387
2021-08-11,637,250,387
2021-08-12,695,298,397
2021-08-13,689,372,317
2021-08-14,593,258,335
2021-08-15,564,281,283
2021-08-16,688,363,325
2021-08-17,603,304,299
2021-08-18,698,324,374
2021-08-19,626,294,332
2021-08-20,587,271,316
2021-08-21,746,402,344
2021-08-22,617,309,308
2021-08-23,810,446,364
2021-08-24,726,367,359
2021-08-25,767,438,329
2021-08-26,730,424,306
2021-08-27,795,520,275
2021-08-28,839,496,343
2021-08-29,920,598,322
2021-08-30,790,467,323
2021-08-31,846,562,284
2021-09-01,844,565,279
2021-09-02,935,598,337
2021-09-03,934,686,248
2021-09-04,910,658,252
2021-09-05,883,595,288
2021-09-06,967,702,265
2021-09-07,845,679,166
2021-09-08,877,700,177
2021-09-09,1016,801,215
2021-09-10,1020,743,277
2021-09-11,1047,780,267
2021-09-12,1088,826,262
2021-09-13,1165,897,268
2021-09-14,1112,905,207
2021-09-15,1165,891,274
2021-09-16,1135,916,219
2021-09-17,1197,898,299
2021-09-18,1193,945,248
2021-09-19,1264,977,287
2021-09-20,1238,1030,208
2021-09-21,1402,1164,238
2021-09-22,1402,1058,344
2021-09-23,1440,1104,336
2021-09-24,1312,1044,268
2021-09-25,1580,1204,376
2021-09-26,1410,1122,288
2021-09-27,1521,1182,339
2021-09-28,1631,1306,325
2021-09-29,1489,1176,313
2021-09-30,1713,1312,401
2021-10-01,1797,1373,424
2021-10-02,1801,1435,366
2021-10-03,1759,1338,421
2021-10-04,1726,1378,348
2021-10-05,1887,1524,363
2021-10-06,1817,1456,361
2021-10-07,1750,1444,306
2021-10-08,1835,1468,367
2021-10-09,1847,1477,370
2021-10-10,1853,1525,328
2021-10-11,1883,1623,260
2021-10-12,1968,1633,335
2021-10-13,1801,1549,252
2021-10-14,1909,1637,272
2021-10-15,1925,1624,301
2021-10-16,1958,1701,257
2021-10-17,1960,1670,290
2021-10-18,1975,1712,263
2021-10-19,1899,1699,200
2021-10-20,1876,1611,265
2021-10-21,2012,1736,276
2021-10-22,1970,1681,289
2021-10-23,2022,1792,230
2021-10-24,1969,1730,239
2021-10-25,1923,1742,181
2021-10-26,2098,1779,319
2021-10-27,2116,1815,301
2021-10-28,2025,1783,242
2021-10-29,2118,1877,241
2021-10-30,2013,1880,133
2021-10-31,2182,1885,297
2021-11-01,2072,1788,284
2021-11-02,2026,1725,301
2021-11-03,2118,1859,259
2021-11-04,2039,1774,265
2021-11-05,2035,1793,242
2021-11-06,2148,1817,331
2021-11-07,2058,1700,358
2021-11-08,2215,1854,361
2021-11-09,2140,1808,332
2021-11-10,2092,1773,319
2021-11-11,2085,1789,296
2021-11-12,2078,1761,317
2021-11-13,2095,1727,368
2021-11-14,2035,1692,343
2021-11-15,2079,1656,423
2021-11-16,2097,1692,405
2021-11-17,2016,1680,336
2021-11-18,2010,1699,311
2021-11-19,1973,1637,336
2021-11-20,1963,1565,398
2021-11-21,1841,1510,331
2021-11-22,1931,1562,369
2021-11-23,1865,1546,319
2021-11-24,1870,1521,349
2021-11-25,1776,1427,349
2021-11-26,1894,1534,360
2021-11-27,1881,1511,370
2021-11-28,1749,1392,357
2021-11-29,1724,1449,275
2021-11-30,1714,1432,282
2021-12-01,1594,1361,233
2021-12-02,1548,1286,262
2021-12-03,1654,1388,266
2021-12-04,1542,1300,242
2021-12-05,1475,1242,233
2021-12-06,1555,1266,289
2021-12-07,1563,1282,281
2021-12-08,1407,1149,258
2021-12-09,1370,1181,189
2021-12-10,1464,1216,248
2021-12-11,1262,1036,226
2021-12-12,1333,1037,296
2021-12-13,1181,1007,174
2021-12-14,1230,1002,228
2021-12-15,1204,972,232
2021-12-16,1214,971,243
2021-12-17,1195,888,307
2021-12-18,1053,871,182
2021-12-19,1166,891,275
2021-12-20,1184,858,326
2021-12-21,1207,868,339
2021-12-22,1105,819,286
2021-12-23,1101,812,289
2021-12-24,1029,691,338
2021-12-25,1042,704,338
2021-12-26,1133,792,341
2021-12-27,888,695,193
2021-12-28,994,689,305
2021-12-29,962,643,319
2021-12-30,1011,628,383
2021-12-31,874,573,301
2022-01-01,1059,741,318
2022-01-02,875,522,353
2022-01-03,826,519,307
2022-01-04,760,379,381
2022-01-05,872,536,336
2022-01-06,855,434,421
2022-01-07,756,440,316
2022-01-08,710,398,312
2022-01-09,760,400,360
2022-01-10,669,375,294
2022-01-11,743,370,373
2022-01-12,678,354,324
2022-01-13,617,333,284
2022-01-14,598,317,281
2022-01-15,770,376,394
2022-01-16,631,340,291
2022-01-17,598,327,271
2022-01-18,485,232,253
2022-01-19,613,319,294
2022-01-20,487,300,187
2022-01-21,441,204,237
2022-01-22,424,296,128
2022-01-23,394,175,219
2022-01-24,380,106,274
2022-01-25,539,243,296
2022-01-26,439,172,267
2022-01-27,490,218,272
2022-01-28,304,122,182
2022-01-29,316,88,228
2022-01-30,525,205,320
2022-01-31,312,65,247
2022-02-01,320,50,270
2022-02-02,275,24,251
2022-02-03,254,0,254
2022-02-04,336,55,281
2022-02-05,282,0,282
2022-02-06,448,93,355
2022-02-07,333,0,333
2022-02-08,402,29,373
2022-02-09,479,196,283
2022-02-10,486,92,394
2022-02-11,423,72,351
2022-02-12,428,0,428
2022-02-13,404,49,355
2022-02-14,359,60,299
2022-02-15,411,0,411
2022-02-16,411,57,354
2022-02-17,379,107,272
2022-02-18,388,27,361
2022-02-19,392,31,361
2022-02-20,390,0,390
2022-02-21,198,0,198
2022-02-22,467,86,381
2022-02-23,309,0,309
2022-02-24,398,0,398
2022-02-25,244,0,244
2022-02-26,348,22,326
2022-02-27,312,0,312
2022-02-28,299,28,271
2022-03-01,249,0,249
2022-03-02,314,57,257
2022-03-03,251,0,251
2022-03-04,290,82,208
2022-03-05,306,14,292
2022-03-06,204,0,204
2022-03-07,343,58,285
2022-03-08,170,0,170
2022-03-09,233,0,233
2022-03-10,244,10,234
2022-03-11,243,3,240
2022-03-12,281,0,281
2022-03-13,238,0,238
2022-03-14,248,16,232
2022-03-15,247,0,247
2022-03-16,370,69,301
2022-03-17,250,30,220
2022-03-18,235,0,235
2022-03-19,205,0,205
2022-03-20,470,97,373
2022-03-21,305,51,254
2022-03-22,256,23,233
2022-03-23,284,0,284
2022-03-24,385,85,300
2022-03-25,445,55,390
2022-03-26,320,0,320
2022-03-27,356,0,356
2022-03-28,278,0,278
2022-03-29,362,0,362
2022-03-30,291,0,291
2022-03-31,387,40,347
2022-04-01,330,0,330
2022-04-02,362,0,362
2022-04-03,391,7,384
2022-04-04,308,6,302
2022-04-05,307,0,307
2022-04-06,355,0,355
2022-04-07,424,55,369
2022-04-08,392,0,392
2022-04-09,360,51,309
2022-04-10,261,0,261
2022-04-11,375,55,320
2022-04-12,272,0,272
2022-04-13,259,0,259
2022-04-14,387,43,344
2022-04-15,304,0,304
2022-04-16,316,73,243
2022-04-17,309,45,264
2022-04-18,255,0,255
2022-04-19,259,0,259
2022-04-20,233,1,232
2022-04-21,178,10,168
2022-04-22,203,0,203
2022-04-23,261,42,219
2022-04-24,241,0,241
2022-04-25,198,0,198
2022-04-26,250,0,250
2022-04-27,243,12,231
2022-04-28,220,0,220
2022-04-29,212,7,205
2022-04-30,417,138,279
2022-05-01,285,0,285
2022-05-02,308,0,308
2022-05-03,305,0,305
2022-05-04,320,3,317
2022-05-05,315,0,315
2022-05-06,238,0,238
2022-05-07,313,8,305
2022-05-08,267,0,267
2022-05-09,395,8,387
2022-05-10,353,15,338
2022-05-11,395,0,395
2022-05-12,309,0,309
2022-05-13,350,0,350
2022-05-14,447,79,368
2022-05-15,363,17,346
2022-05-16,367,0,367
2022-05-17,419,0,419
2022-05-18,374,57,317
2022-05-19,250,0,250
2022-05-20,433,17,416
2022-05-21,392,76,316
2022-05-22,387,0,387
2022-05-23,361,0,361
2022-05-24,320,0,320
2022-05-25,407,71,336
2022-05-26,272,5,267
2022-05-27,308,0,308
2022-05-28,369,49,320
2022-05-29,307,50,257
2022-05-30,264,0,264
2022-05-31,284,0,284
2022-06-01,318,0,318
2022-06-02,258,0,258
2022-06-03,235,0,235
2022-06-04,242,0,242
2022-06-05,384,93,291
2022-06-06,219,3,216
2022-06-07,228,0,228
2022-06-08,286,71,215
2022-06-09,241,8,233
2022-06-10,286,35,251
2022-06-11,321,34,287
2022-06-12,180,15,165
2022-06-13,304,26,278
2022-06-14,238,12,226
2022-06-15,292,0,292
2022-06-16,343,18,325
2022-06-17,374,51,323
2022-06-18,298,0,298
2022-06-19,361,28,333
2022-06-20,292,21,271
2022-06-21,405,91,314
2022-06-22,385,0,385
2022-06-23,300,0,300
2022-06-24,346,0,346
2022-06-25,330,0,330
2022-06-26,342,0,342
2022-06-27,370,0,370
2022-06-28,361,15,346
2022-06-29,359,0,359
2022-06-30,340,0,340
